link,date,time,score,length 1,damage 1,source 1,length 2,damage 2,source 2,length 3,damage 3,source 3,length 4,damage 4,source 4,length 5,damage 5,source 5,length 6,damage 6,source 6,length 7,damage 7,source 7,length 8,damage 8,source 8,length 9,damage 9,source 9
https://dps.report/qDsu-20231027-195647_sam,27.10.2023,19:56:47,nan,4.719,4318.0,Rosenrot.1293,4.289,4544.0,Icetea.3204,2.508,4030.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/Om1P-20231027-195845_sam,27.10.2023,19:58:45,nan,3.695,4644.0,Rosenrot.1293,7.094,4108.5,Icetea.3204,3.308,4419.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/RZIu-20231027-200052_sam,27.10.2023,20:00:52,nan,4.594,4481.0,Rosenrot.1293,4.816,4319.0,Icetea.3204,2.991,4619.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/zqmf-20231027-200737_sam,27.10.2023,20:07:37,nan,5.998,3901.0,Rosenrot.1293,4.101,4419.0,Icetea.3204,7.0,4129.0,KarlFranzOtto.7863,4.397,4644.0,Rosenrot.1293,7.516,4644.0,Icetea.3204,4.082,775.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/giTf-20231027-200836_sam,27.10.2023,20:08:36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/CWCw-20231027-200959_sam,27.10.2023,20:09:59,nan,8.197,3412.0,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/krLT-20231027-201106_sam,27.10.2023,20:11:06,nan,9.195,2778.5,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/7Khr-20231027-201353_sam,27.10.2023,20:13:53,nan,3.899,4581.0,Rosenrot.1293,4.301,4419.0,Icetea.3204,7.654,1672.5,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/VFY3-20231027-201908_sam,27.10.2023,20:19:08,nan,6.099,3756.0,Rosenrot.1293,7.209,3831.0,Icetea.3204,3.003,4519.0,KarlFranzOtto.7863,4.981,4354.0,Rosenrot.1293,4.689,4419.0,Icetea.3204,2.498,2909.0,KarlFranzOtto.7863,nan,nan,nan,nan,nan,nan,nan,nan,nan
https://dps.report/MuSP-20231027-202323_sam,27.10.2023,20:23:23,nan,6.405,4408.5,Rosenrot.1293,5.407,4644.0,Icetea.3204,2.993,4619.0,KarlFranzOtto.7863,8.714,2252.5,Rosenrot.1293,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
